"filename", "language", "JSON", "HTML", "MS SQL", "TypeScript", "TypeScript JSX", "JavaScript", "JSON with Comments", "Markdown", "XML", "Rust", "comment", "blank", "total"
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/file/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 63, 10, 114
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/file/tests/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 9, 14, 91
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 13, 10, 69
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 6
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/parser/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 247, 32, 336
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/parser/tests/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 21, 15, 87
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/wafer/ds.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 364, 21, 30, 415
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/src/wafer/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/junweiwang/Documents/github/wafer-overlay/src-tauri/tauri.conf.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"/Users/junweiwang/Documents/github/wafer-overlay/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 14, 16, 206
"/Users/junweiwang/Documents/github/wafer-overlay/src/WaferScene.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 11, 70
"/Users/junweiwang/Documents/github/wafer-overlay/src/Workflows.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 10
"/Users/junweiwang/Documents/github/wafer-overlay/src/api/fs.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/junweiwang/Documents/github/wafer-overlay/src/api/tauri/wafer.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 6, 26
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/DirectorySelectList.tsx", "TypeScript JSX", 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 2, 17, 190
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/FlowStepper.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/LastSaved.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 10, 2, 36
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/PathPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 1, 6, 82
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/ProcessRouteStepper.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 5, 52
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/RegexInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 5, 45
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/Wafer/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/junweiwang/Documents/github/wafer-overlay/src/components/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/MenuItems.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 1, 4, 89
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/default.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 4, 8, 70
"/Users/junweiwang/Documents/github/wafer-overlay/src/constants/index.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 3, 11
"/Users/junweiwang/Documents/github/wafer-overlay/src/flows/DataSourcePaths.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 14, 2, 65
"/Users/junweiwang/Documents/github/wafer-overlay/src/flows/RegexPathPatterns.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 1, 12
