"filename", "language", "JSON", "JavaScript", "Markdown", "MS SQL", "HTML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Rust", "XML", "comment", "blank", "total"
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/job.ts", "TypeScript", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 14, 25, 188
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/logSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 9, 10, 124
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/preferencesSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 40, 27, 249
"/Users/junweiwang/Documents/github/wafer-overlay/src/slices/waferMetadataSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 13, 14, 82
"/Users/junweiwang/Documents/github/wafer-overlay/src/store.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 4, 31
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/dataSource.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 14, 63
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/index.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 5, 13
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/ipc.ts", "TypeScript", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 96, 37, 255
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/log.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/preferences.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 4, 19
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/stepper.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 9
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/wafer.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 28, 23, 110
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/console.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 8, 53
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/dataSource.ts", "TypeScript", 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 87, 68, 497
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/fs.ts", "TypeScript", 0, 0, 0, 0, 0, 459, 0, 0, 0, 0, 152, 111, 722
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/helper.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/init.ts", "TypeScript", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 33, 13, 142
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/log.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 3, 16
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/validators.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 1, 9, 57
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/wafer.ts", "TypeScript", 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 13, 29, 246
"/Users/junweiwang/Documents/github/wafer-overlay/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/junweiwang/Documents/github/wafer-overlay/test/data_config.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"/Users/junweiwang/Documents/github/wafer-overlay/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 4, 32
"/Users/junweiwang/Documents/github/wafer-overlay/tsconfig.node.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"/Users/junweiwang/Documents/github/wafer-overlay/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 6, 45
"Total", "-", 201, 32, 240, 79, 151, 4826, 4946, 25, 1570, 7, 6341, 1846, 20264
